Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Lab Dup,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes
Lake Perris Outlet,LkPerris@Outlet,PE002000,SA0110B0001,1/11/2010 8:00,Dissolved Ammonia,7664-41-7,,0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Lake Perris Outlet,LkPerris@Outlet,PE002000,SA0110B0001,1/11/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.04,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Lake Perris Outlet,LkPerris@Outlet,PE002000,SA0110B0001,1/11/2010 8:00,Total Phosphorus,7723-14-0,,0.02,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Lake Perris Outlet,LkPerris@Outlet,PE002000,SA0110B0001,1/11/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.4,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Lake Perris Outlet,LkPerris@Outlet,PE002000,SA0110B0001,1/11/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,<0.01,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Silverwood Lk Outlet Tower (San Bernardino Tunnel),Silverwood Lk Tower,SI002000,SA0110B0002,1/12/2010 8:00,Dissolved Ammonia,7664-41-7,,0.01,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Silverwood Lk Outlet Tower (San Bernardino Tunnel),Silverwood Lk Tower,SI002000,SA0110B0002,1/12/2010 8:00,Dissolved Nitrate + Nitrite,NO3+NO2,,0.56,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Silverwood Lk Outlet Tower (San Bernardino Tunnel),Silverwood Lk Tower,SI002000,SA0110B0002,1/12/2010 8:00,Total Phosphorus,7723-14-0,,0.1,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Silverwood Lk Outlet Tower (San Bernardino Tunnel),Silverwood Lk Tower,SI002000,SA0110B0002,1/12/2010 8:00,Total Kjeldahl Nitrogen,TKN,,0.4,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
Silverwood Lk Outlet Tower (San Bernardino Tunnel),Silverwood Lk Tower,SI002000,SA0110B0002,1/12/2010 8:00,Dissolved ortho-Phosphate,14265-44-2,,0.03,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0.3 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SLA0110B0005,1/12/2010 8:15,Dissolved Ammonia,7664-41-7,,0.04,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SLA0110B0005,1/12/2010 8:15,Dissolved Nitrate,14797-55-8,,3.7,0.1,mg/L,EPA 300.0 28d Hold [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SLA0110B0005,1/12/2010 8:15,Dissolved Nitrate + Nitrite,NO3+NO2,,0.69,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SLA0110B0005,1/12/2010 8:15,Total Phosphorus,7723-14-0,,0.09,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SLA0110B0005,1/12/2010 8:15,Total Kjeldahl Nitrogen,TKN,,0.4,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
CALIFORNIA AQU NR KETTLEMAN CK-21,Check 21,KA017226,SLA0110B0005,1/12/2010 8:15,Dissolved ortho-Phosphate,14265-44-2,,0.05,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SLA0110B0011,1/12/2010 10:25,Dissolved Ammonia,7664-41-7,,0.05,0.01,mg/L as N,EPA 350.1 (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SLA0110B0011,1/12/2010 10:25,Dissolved Nitrate,14797-55-8,,5.6,0.333,mg/L,EPA 300.0 28d Hold [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SLA0110B0011,1/12/2010 10:25,Dissolved Nitrate + Nitrite,NO3+NO2,,1.2,0.01,mg/L as N,Std Method 4500-NO3-F (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SLA0110B0011,1/12/2010 10:25,Total Phosphorus,7723-14-0,,0.09,0.01,mg/L as P,EPA 365.4 (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SLA0110B0011,1/12/2010 10:25,Total Kjeldahl Nitrogen,TKN,,0.4,0.1,mg/L as N,EPA 351.2 (DWR Modified) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SLA0110B0011,1/12/2010 10:25,Dissolved ortho-Phosphate,14265-44-2,,0.06,0.01,mg/L as P,EPA 365.1 DWR Modified [1]*,0 Meters,"Water, Natural",Normal Sample,0,,
